Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-04-09,2,2,29.00,33.60,1.00,1.00,green
2022-04-10,2428,2126,"32,484.30","41,269.52","1,210.00",608.00,green
2022-04-11,2835,2343,"33,265.14","42,489.00","1,351.00",776.00,green
2022-04-12,3052,2783,"43,125.76","54,971.81","1,550.00",836.00,green
2022-04-13,3160,2725,"42,145.87","52,951.73","1,462.00",933.00,green
2022-04-14,3135,2743,"40,457.36","51,403.46","1,493.00",924.00,green
2022-04-15,2819,2523,"38,192.61","48,858.84","1,388.00",790.00,green
2022-04-16,2,2,34.50,45.49,1.00,1.00,green
2022-04-16,2509,2331,"33,883.88","42,734.95","1,282.00",727.00,green
2022-04-17,2471,2139,"31,445.13","40,034.67","1,228.00",648.00,green
2022-04-18,2942,2460,"34,108.18","43,913.76","1,422.00",814.00,green
2022-04-18,1,1,6.50,7.30,0.00,1.00,green
2022-04-19,3120,2646,"37,560.45","48,231.52","1,512.00",870.00,green
2022-04-19,1,1,13.00,13.80,0.00,1.00,green
2022-04-20,3092,2627,"38,842.27","50,030.78","1,549.00",833.00,green
2022-04-20,1,1,5.50,6.80,0.00,1.00,green
2022-04-21,3021,2581,"38,117.00","48,686.18","1,495.00",844.00,green
2022-04-22,2990,2588,"37,646.24","48,071.32","1,449.00",878.00,green
2022-04-22,3,3,22.00,28.10,1.00,2.00,green
2022-04-23,2976,2727,"41,541.33","52,753.63","1,524.00",805.00,green
2022-04-23,1,1,17.50,27.60,0.00,1.00,green
2022-04-24,2354,2189,"33,068.02","42,100.56","1,193.00",646.00,green
2022-04-25,2904,2478,"34,742.22","44,487.00","1,371.00",871.00,green
2022-04-25,1,1,19.00,22.55,0.00,1.00,green
2022-04-26,2783,2410,"35,586.84","45,285.74","1,377.00",790.00,green
2022-04-27,3058,2705,"39,617.15","50,289.36","1,537.00",867.00,green
2022-04-28,2771,2608,"40,239.33","51,182.91","1,454.00",834.00,green
2022-04-29,2892,2735,"41,252.61","52,216.16","1,445.00",917.00,green
2022-04-30,4,4,79.50,84.20,3.00,1.00,green
2022-04-30,2547,2447,"38,762.36","48,721.41","1,295.00",773.00,green
2022-05-01,2290,2156,"35,341.26","43,954.41","1,146.00",648.00,green
2022-05-01,11,11,131.50,178.84,7.00,4.00,green
2022-05-02,1756,1764,"26,666.83","34,055.42",934.00,524.00,green
2022-05-03,2923,2576,"37,890.00","48,390.36","1,435.00",858.00,green
2022-05-03,7,7,108.00,149.17,4.00,3.00,green
2022-05-04,13,13,126.00,181.02,8.00,5.00,green
2022-05-04,3066,2665,"38,281.27","48,902.49","1,533.00",840.00,green
2022-05-05,3131,2774,"41,295.17","52,296.03","1,550.00",922.00,green
