Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-05-06,167461,"128,032.00","1,896,955.78","2,781,671.02","7,085.00","96,047.00",yellow
2022-05-07,165088,"118,187.00","1,612,018.23","2,358,364.88","5,841.00","88,495.00",yellow
2022-05-08,12,3.00,36.50,54.32,0.00,2.00,yellow
2022-05-08,145569,"103,575.00","1,571,598.89","2,269,411.94","4,358.00","77,657.00",yellow
2022-05-09,141881,"107,893.00","1,607,266.94","2,361,895.74","3,250.00","81,593.00",yellow
2022-05-10,157834,"121,334.00","1,748,779.80","2,579,051.07","3,810.00","93,223.00",yellow
2022-05-11,165675,"127,614.00","1,841,043.44","2,714,939.07","4,170.00","98,156.00",yellow
2022-05-12,174361,"133,017.00","1,967,378.30","2,900,195.52","4,592.00","102,307.00",yellow
2022-05-13,172700,"129,999.00","1,967,166.24","2,880,217.75","5,238.00","98,841.00",yellow
2022-05-14,175163,"125,805.00","1,849,431.98","2,671,047.63","5,524.00","95,133.00",yellow
2022-05-15,4,2.00,26.50,33.10,0.00,0.00,yellow
2022-05-15,10,4.00,41.00,57.64,0.00,2.00,yellow
2022-05-15,147936,"106,627.00","1,718,033.81","2,463,570.32","4,681.00","79,956.00",yellow
2022-05-16,149667,"113,886.00","1,726,915.02","2,529,439.53","3,338.00","86,556.00",yellow
2022-05-17,161275,"122,954.00","1,956,348.81","2,832,465.04","3,662.00","94,658.00",yellow
2022-05-18,8,2.00,13.00,24.76,0.00,2.00,yellow
2022-05-18,164669,"125,685.00","1,982,589.99","2,877,685.20","4,084.00","96,810.00",yellow
2022-05-19,169792,"128,777.00","2,048,096.31","2,973,584.03","4,403.00","99,471.00",yellow
2022-05-20,166794,"123,896.00","1,947,723.04","2,831,650.33","4,315.00","94,524.00",yellow
2022-05-21,174747,"124,071.00","1,929,263.14","2,760,093.83","5,254.00","93,585.00",yellow
2022-05-22,141457,"101,488.00","1,684,514.17","2,396,904.03","4,356.00","76,007.00",yellow
2022-05-23,146616,"110,461.00","1,725,075.43","2,515,907.22","3,111.00","83,457.00",yellow
